92,119
188,60
404,466
687,994
672,170
347,514
308,330
629,662
52,467
815,624
477,696
64,398
335,711
784,863
331,409
10,126
359,425
347,831
652,264
203,39
30,530
118,902
890,161
715,231
5,479
50,346
900,650
155,39
836,460
103,400
102,295
116,184
805,519
132,91
172,603
904,273
493,303
458,656
400,180
282,947
387,860
424,105
530,772
274,564
912,134
973,378
143,607
747,582
295,825
206,86
121,849
710,55
321,430
658,877
319,560
533,145
215,694
365,398
581,220
438,769
594,355
832,74
342,25
683,605
75,633
433,313
401,484
335,296
213,195
9,126
123,775
974,721
51,848
763,63
895,996
608,294
158,649
984,25
956,919
721,500
994,927
175,75
90,110
822,259
995,824
648,818
581,521
883,122
221,772
35,160
556,541
464,552
642,890
7,737
887,227
708,167
539,185
473,456
281,304
936,54
461,214
244,597
671,408
710,356
87,385
421,701
752,446
672,959
715,290
779,929
848,978
85,552
266,912
924,823
124,455
824,194
495,569
354,999
883,664
906,212
451,236
22,610
139,290
491,422
64,767
521,662
835,955
681,26
95,185
906,386
968,401
7,792
607,414
992,774
734,684
179,986
53,242
194,549
295,442
804,449
853,372
148,4
146,348
603,667
198,630
152,271
356,967
89,458
455,448
317,455
41,878
766,740
958,79
593,201
667,492
182,274
783,163
405,302
524,730
790,757
322,800
80,826
57,33
992,767
396,516
438,118
70,888
805,649
728,488
893,119
778,400
381,560
196,6
277,84
750,596
498,572
875,681
46,902
447,76
709,646
760,476
490,779
909,539
703,469
384,720
127,3
574,443
405,417
159,34
168,443
183,294
888,389
47,267
340,211
462,465
526,896
314,713
600,481
158,578
525,958
794,811
393,888
32,714
852,833
569,195
914,830
808,79
649,973
464,394
298,560
856,854
344,584
259,571
801,906
886,731
630,109
952,340
594,794
207,581
162,326
857,852
283,2
132,23
434,815
983,893
288,558
205,267
371,160
702,998
690,611
541,69
124,433
794,208
176,711
680,586
273,189
286,441
887,339
297,909
880,846
849,279
788,892
978,251
145,219
434,453
788,169
697,905
693,208
63,162
915,729
462,361
831,104
363,208
756,632
319,968
642,972
156,137
966,151
898,965
723,237
836,694
121,298
956,390
864,668
85,493
352,550
24,671
655,179
230,161
486,455
258,898
472,931
384,568
203,621
12,167
358,832
329,227
872,555
722,491
44,201
951,984
72,651
63,933
183,72
140,756
826,57
944,867
100,990
116,704
195,506
860,296
270,66
808,112
27,569
336,843
194,836
976,155
628,82
928,12
87,54
