2,12
3,4
4,47
5,29
6,44
7,39
8,46
9,37
10,8
11,22
12,35
13,41
14,24
15,15
16,48
17,31
18,25
19,19
20,40
21,38
22,11
23,6
24,7
25,21
26,3
27,10
28,44
29,13
30,39
31,31
32,15
33,26
34,11
35,41
36,14
37,2
38,39
39,5
40,27
41,43
42,42
43,25
44,20
45,38
46,24
47,48
48,30
49,33
50,43
51,16
52,11
53,38
54,2
55,40
56,30
57,36
58,10
59,7
60,46
61,42
62,21
63,33
64,29
65,18
66,39
67,42
68,37
69,3
70,44
71,22
72,13
73,34
74,34
75,25
76,16
77,19
78,12
79,15
80,14
81,11
82,40
83,29
84,30
85,24
86,46
87,9
88,3
89,49
90,28
91,8
92,48
93,31
94,19
95,23
96,42
97,25
98,20
99,24
100,8
101,36
102,11
103,17
104,14
105,48
106,46
107,37
108,32
109,12
110,47
111,8
112,13
113,28
114,14
115,3
116,17
117,27
118,48
119,31
120,10
121,21
122,38
123,50
124,15
125,10
126,41
127,40
128,18
129,4
130,6
131,23
132,43
133,28
134,26
135,9
136,10
137,4
138,28
139,49
140,50
141,7
142,46
143,45
144,21
145,38
146,23
147,26
148,12
149,50
150,2
151,21
152,42
153,10
154,46
155,7
156,11
157,36
158,24
159,43
160,3
161,34
162,8
163,10
164,28
165,16
166,36
167,21
168,31
169,7
170,24
171,14
172,38
173,12
174,49
175,48
176,45
177,21
178,50
179,17
180,43
181,11
182,10
183,11
184,13
185,3
186,17
187,19
188,46
189,18
190,40
191,29
192,43
193,5
194,19
195,17
196,12
197,8
198,29
199,14
200,25
